POSTCODE,Consumption (kWh)
BR1 4JA,98158.7
BR1 4JB,99149.2
BR1 4JE,91948.7
BR1 4JF,143134.0
BR1 4JG,174383.0
BR1 4JJ,23409.5
BR1 4JL,99134.3
BR1 4JN,100941.1
BR1 4JP,67946.3
BR1 4JQ,145890.7
BR1 4JR,37994.3
BR1 4JU,146659.1
BR1 4JW,151012.5
BR1 4JX,81125.8
BR1 4JY,77774.0
BR1 4JZ,115884.2
BR1 4LA,142298.8
BR1 4LB,131177.4
BR1 4LD,32676.7
BR1 4LE,37631.9
BR1 4LF,29906.1
BR1 4LG,31516.3
BR1 4LH,109332.9
BR1 4LJ,52808.6
BR1 4LL,118771.7
BR1 4LN,47471.6
BR1 4LP,87245.5
BR1 4LQ,116727.1
BR1 4LR,40999.0
BR1 4LS,17014.0
BR1 4LT,48336.2
BR1 4LW,51592.0
BR1 4LX,16763.8
BR1 4LY,48178.4
BR1 4LZ,13282.4
BR1 4NA,113491.4
BR1 4NB,52927.7
BR1 4ND,135310.2
BR1 4NE,138140.7
BR1 4NF,93563.2
BR1 4NG,173299.1
BR1 4NH,187019.6
BR1 4NJ,68110.2
BR1 4NL,170559.5
BR1 4NN,104895.5
BR1 4NP,174539.4
BR1 4NQ,123836.4
BR1 4NR,63686.9
BR1 4NS,61298.8
BR1 4NT,126735.0
BR1 4NU,35330.9
BR1 4NW,169474.3
BR1 4NX,24323.6
BR1 4NY,10931.9
BR1 4NZ,24837.5
BR1 4PA,57489.6
BR1 4PB,55514.7
BR1 4PD,76595.0
BR1 4PE,87083.1
BR1 4PF,98123.2
BR1 4PG,77326.4
BR1 4PH,76779.9
BR1 4PL,76579.2
BR1 4PP,72342.0
BR1 4PQ,31009.5
BR1 4PU,89591.5
BR1 4PY,68080.1
BR1 4PZ,77657.0
BR1 4QA,61442.2
BR1 4QB,115859.8
BR1 4QD,25064.4
BR1 4QE,126278.9
BR1 4QF,106744.3
BR1 4QG,110372.3
BR1 4QH,109358.7
BR1 4QJ,160000.5
BR1 4QL,139417.2
BR1 4QN,102215.9
BR1 4QP,131331.2
BR1 4QQ,84832.0
BR1 4QR,81882.7
BR1 4QS,69691.5
BR1 4QT,93797.5
BR1 4QU,114705.3
BR1 4QW,135688.8
BR1 4QX,123796.1
BR1 4QY,134045.1
BR1 4QZ,119253.1
BR1 4RA,124410.5
BR1 4RB,125352.6
BR1 4RD,53917.6
BR1 4RE,91089.3
BR1 4RF,70501.6
BR1 4RG,138039.4
BR1 4RH,110299.3
BR1 4RJ,108154.9
BR1 4RL,16001.0
BR1 4RN,74866.1
BR1 4RQ,148652.8
BR1 4RR,122331.6
BR1 4RS,119486.0
BR1 4RT,89538.4
BR1 4RU,46243.5
BR1 4RW,69920.7
BR1 4RX,105471.2
BR1 4RY,92173.1
BR1 4RZ,89025.8
BR1 4SA,143356.8
BR1 4SB,157593.9
BR1 4SD,73740.1
BR1 4SE,97777.2
BR1 4SF,58222.2
BR1 4SG,40798.9
BR1 4SH,98981.6
BR1 4SJ,62097.2
BR1 4SL,79643.2
BR1 4SN,51413.8
BR1 4SQ,133077.4
BR1 4TA,105482.7
BR1 4TB,142798.8
BR1 4TD,24809.3
BR1 4TF,52474.0
BR1 4TJ,43003.4
BR1 4TL,75899.4
BR1 4TN,46179.2
BR1 4TQ,39518.1
BR1 4TX,25751.2
BR1 5AA,56836.2
BR1 5AD,134687.3
BR1 5AE,43558.9
BR1 5AF,37452.7
BR1 5AH,62391.4
BR1 5AL,82636.4
BR1 5AN,116035.9
BR1 5AP,112387.1
BR1 5AQ,59303.0
BR1 5AR,158985.1
BR1 5AS,102308.2
BR1 5AT,31111.3
BR1 5AU,110484.9
BR1 5AW,137771.7
BR1 5AX,103831.2
BR1 5AY,156565.4
BR1 5AZ,125130.6
BR1 5BA,103511.1
BR1 5BB,133451.7
BR1 5BD,88805.8
BR1 5BE,95960.6
BR1 5BG,77885.9
BR1 5BH,68979.5
BR1 5BJ,111738.1
BR1 5BL,157174.4
